Date,Sunrise,Sunset
1-Jan,0655,1652
2-Jan,0655,1653
3-Jan,0655,1653
4-Jan,0655,1654
5-Jan,0656,1655
6-Jan,0656,1657
7-Jan,0656,1658
8-Jan,0656,1658
9-Jan,0656,1659
10-Jan,0656,1660
11-Jan,0655,1700
12-Jan,0655,1701
13-Jan,0655,1702
14-Jan,0655,1703
15-Jan,0655,1704
16-Jan,0654,1705
17-Jan,0654,1706
18-Jan,0654,1707
19-Jan,0654,1708
20-Jan,0653,1709
21-Jan,0653,1710
22-Jan,0652,1711
23-Jan,0652,1712
24-Jan,0651,1713
25-Jan,0651,1714
26-Jan,0650,1714
27-Jan,0650,1715
28-Jan,0649,1716
29-Jan,0649,1717
30-Jan,0648,1718
31-Jan,0647,1719
1-Feb,0646,1720
2-Feb,0646,1721
3-Feb,0645,1722
4-Feb,0644,1723
5-Feb,0643,1724
6-Feb,0643,1725
7-Feb,0642,1726
8-Feb,0641,1727
9-Feb,0640,1728
10-Feb,0639,1729
11-Feb,0638,1730
12-Feb,0637,1731
13-Feb,0636,1732
14-Feb,0635,1733
15-Feb,0634,1734
16-Feb,0633,1735
17-Feb,0632,1736
18-Feb,0631,1737
19-Feb,0630,1737
20-Feb,0629,1738
21-Feb,0628,1739
22-Feb,0626,1740
23-Feb,0625,1741
24-Feb,0624,1742
25-Feb,0623,1743
26-Feb,0622,1744
27-Feb,0621,1744
28-Feb,0619,1745
1-Mar,0618,1746
2-Mar,0617,1747
3-Mar,0616,1748
4-Mar,0614,1749
5-Mar,0613,1750
6-Mar,0612,1750
7-Mar,0611,1751
8-Mar,0609,1752
9-Mar,0608,1753
10-Mar,0607,1754
11-Mar,0605,1754
12-Mar,0604,1755
13-Mar,0603,1756
14-Mar,0601,1757
15-Mar,0600,1758
16-Mar,0559,1758
17-Mar,0557,1759
18-Mar,0556,1800
19-Mar,0555,1801
20-Mar,0553,1801
21-Mar,0552,1802
22-Mar,0551,1803
23-Mar,0549,1804
24-Mar,0548,1804
25-Mar,0546,1805
26-Mar,0545,1806
27-Mar,0544,1807
28-Mar,0542,1807
29-Mar,0541,1808
30-Mar,0540,1809
31-Mar,0538,1810
1-Apr,0537,1810
2-Apr,0536,1811
3-Apr,0534,1812
4-Apr,0533,1813
5-Apr,0532,1813
6-Apr,0530,1814
7-Apr,0529,1815
8-Apr,0528,1816
9-Apr,0526,1816
10-Apr,0525,1817
11-Apr,0524,1818
12-Apr,0522,1819
13-Apr,0521,1820
14-Apr,0520,1820
15-Apr,0519,1821
16-Apr,0517,1822
17-Apr,0516,1823
18-Apr,0515,1823
19-Apr,0514,1824
20-Apr,0513,1825
21-Apr,0511,1826
22-Apr,0510,1826
23-Apr,0509,1827
24-Apr,0508,1828
25-Apr,0507,1829
26-Apr,0506,1830
27-Apr,0505,1830
28-Apr,0504,1831
29-Apr,0503,1832
30-Apr,0502,1833
1-May,0501,1833
2-May,0500,1834
3-May,0459,1835
4-May,0458,1836
5-May,0457,1837
6-May,0456,1837
7-May,0455,1838
8-May,0454,1839
9-May,0453,1840
10-May,0452,1840
11-May,0451,1841
12-May,0451,1842
13-May,0450,1843
14-May,0449,1843
15-May,0448,1844
16-May,0448,1845
17-May,0447,1846
18-May,0446,1846
19-May,0446,1847
20-May,0445,1848
21-May,0444,1849
22-May,0444,1849
23-May,0443,1850
24-May,0443,1851
25-May,0442,1851
26-May,0442,1852
27-May,0441,1853
28-May,0441,1853
29-May,0441,1854
30-May,0440,1855
31-May,0440,1855
1-Jun,0440,1856
2-Jun,0439,1856
3-Jun,0439,1857
4-Jun,0439,1857
5-Jun,0439,1858
6-Jun,0438,1858
7-Jun,0438,1859
8-Jun,0438,1859
9-Jun,0438,1900
10-Jun,0438,1900
11-Jun,0438,1901
12-Jun,0438,1901
13-Jun,0438,1902
14-Jun,0438,1902
15-Jun,0438,1902
16-Jun,0438,1903
17-Jun,0438,1903
18-Jun,0438,1903
19-Jun,0440,1904
20-Jun,0440,1904
21-Jun,0440,1904
22-Jun,0440,1904
23-Jun,0440,1904
24-Jun,0440,1904
25-Jun,0440,1905
26-Jun,0440,1905
27-Jun,0441,1905
28-Jun,0441,1905
29-Jun,0441,1905
30-Jun,0442,1905
1-Jul,0442,1905
2-Jul,0443,1905
3-Jul,0443,1905
4-Jul,0444,1904
5-Jul,0444,1904
6-Jul,0445,1904
7-Jul,0445,1904
8-Jul,0446,1904
9-Jul,0446,1903
10-Jul,0447,1903
11-Jul,0447,1903
12-Jul,0448,1902
13-Jul,0449,1902
14-Jul,0449,1902
15-Jul,0450,0901
16-Jul,0450,0901
17-Jul,0451,1900
18-Jul,0452,1900
19-Jul,0452,1859
20-Jul,0453,1859
21-Jul,0454,1858
22-Jul,0454,1858
23-Jul,0455,1857
24-Jul,0456,1856
25-Jul,0456,1856
26-Jul,0457,1855
27-Jul,0458,1854
28-Jul,0458,1853
29-Jul,0459,1853
30-Jul,0500,1852
31-Jul,0501,1851
1-Aug,0501,1850
2-Aug,0502,1849
3-Aug,0503,1848
4-Aug,0503,1848
5-Aug,0504,1847
6-Aug,0505,1846
7-Aug,0506,1845
8-Aug,0506,1844
9-Aug,0507,1843
10-Aug,0508,1842
11-Aug,0509,1841
12-Aug,0509,1840
13-Aug,0510,1838
14-Aug,0511,1837
15-Aug,0511,1836
16-Aug,0512,1835
17-Aug,0513,1834
18-Aug,0514,1833
19-Aug,0514,1832
20-Aug,0515,1830
21-Aug,0516,1829
22-Aug,0516,1828
23-Aug,0517,1827
24-Aug,0518,1826
25-Aug,0519,1824
26-Aug,0519,1823
27-Aug,0520,1822
28-Aug,0521,1820
29-Aug,0521,1819
30-Aug,0522,1818
31-Aug,0523,1817
1-Sep,0523,1815
2-Sep,0524,1814
3-Sep,0525,1813
4-Sep,0525,1811
5-Sep,0526,1810
6-Sep,0527,1808
7-Sep,0528,1807
8-Sep,0528,1806
9-Sep,0529,1804
10-Sep,0530,1803
11-Sep,0530,1802
12-Sep,0531,1800
13-Sep,0532,1759
14-Sep,0532,1757
15-Sep,0533,1756
16-Sep,0534,1755
17-Sep,0534,1753
18-Sep,0535,1752
19-Sep,0536,1750
20-Sep,0536,1749
21-Sep,0537,1748
22-Sep,0538,1746
23-Sep,0539,1745
24-Sep,0539,1743
25-Sep,0540,1742
26-Sep,0541,1741
27-Sep,0541,1739
28-Sep,0542,1738
29-Sep,0543,1737
30-Sep,0543,1735
1-Oct,0544,1734
2-Oct,0545,1732
3-Oct,0546,1731
4-Oct,0546,1730
5-Oct,0547,1728
6-Oct,0548,1727
7-Oct,0549,1726
8-Oct,0549,1724
9-Oct,0550,1723
10-Oct,0551,1722
11-Oct,0552,1721
12-Oct,0552,1719
13-Oct,0553,1718
14-Oct,0554,1717
15-Oct,0555,1715
16-Oct,0556,1714
17-Oct,0556,1713
18-Oct,0557,1712
19-Oct,0558,1711
20-Oct,0559,1709
21-Oct,0600,1708
22-Oct,0600,1707
23-Oct,0601,1706
24-Oct,0602,1705
25-Oct,0603,1704
26-Oct,0604,1703
27-Oct,0605,1702
28-Oct,0606,1701
29-Oct,0607,1700
30-Oct,0607,1659
31-Oct,0608,1658
1-Nov,0609,1657
2-Nov,0610,1656
3-Nov,0611,1655
4-Nov,0612,1654
5-Nov,0613,1653
6-Nov,0614,1652
7-Nov,0615,1652
8-Nov,0616,1651
9-Nov,0616,1650
10-Nov,0617,1649
11-Nov,0618,1649
12-Nov,0619,1648
13-Nov,0620,1647
14-Nov,0621,1647
15-Nov,0622,1646
16-Nov,0623,1646
17-Nov,0624,1645
18-Nov,0625,1644
19-Nov,0626,1644
20-Nov,0627,1644
21-Nov,0628,1643
22-Nov,0629,1643
23-Nov,0630,1642
24-Nov,0631,1642
25-Nov,0631,1642
26-Nov,0632,1641
27-Nov,0633,1641
28-Nov,0634,1641
29-Nov,0635,1641
30-Nov,0636,1641
1-Dec,0637,1641
2-Dec,0638,1640
3-Dec,0639,1640
4-Dec,0639,1640
5-Dec,0640,1640
6-Dec,0641,1640
7-Dec,0642,1640
8-Dec,0643,1641
9-Dec,0643,1641
10-Dec,0644,1641
11-Dec,0645,1641
12-Dec,0646,1641
13-Dec,0646,1642
14-Dec,0647,1642
15-Dec,0648,1642
16-Dec,0648,1643
17-Dec,0649,1643
18-Dec,0649,1643
19-Dec,0650,1644
20-Dec,0651,1644
21-Dec,0651,1645
22-Dec,0652,1645
23-Dec,0652,1646
24-Dec,0652,1646
25-Dec,0653,1647
26-Dec,0653,1647
27-Dec,0654,1648
28-Dec,0654,1649
29-Dec,0654,1649
30-Dec,0655,1650
31-Dec,0655,1651
